╧ ВЕЙС;дЮРЮ ОПНДЮФС;пЁЙ;лЁЯЪЖЭ;дЕМЭ;рНБЮП ID;рНБЮП  ID МНБХИ;йЁКЭЙЁЯРЭ;жЁМЮ НДХМХЖЁ;бХПСВЙЮ, ЦПМ;оНЙСОЕЖЭ;яНАЁБЮПРЁЯРЭ, ЦПМ;дЮРЮ БЁДБЮМРЮФЕММЪ
100000010;22.08.2016;2016;8;22;ую-3417;10310;1;260.1312;260.1312;о╡а 537;186.44;22.08.2016
100000010;22.08.2016;2016;8;22;ую-3381;10274;1;6228.9326;6228.9326;о╡а 537;3166.08;22.08.2016
100000012;08.03.2018;2018;3;8;ую-3229;10122;1;248.34843;248.34843;;167.89;11.03.2018
100000012;08.03.2018;2018;3;8;ую-3441;10334;1;657.624;657.624;;320.1;11.03.2018
100000013;10.11.2016;2016;11;10;ую-3144;10037;1;499.7696;499.7696;;274.8;10.11.2016
100000018;12.05.2017;2017;5;12;ую-3413;10306;2;191.092;382.184;;207.68;14.05.2017
100000018;12.05.2017;2017;5;12;ую-3404;10297;1;161.007;161.007;;118.65;14.05.2017
100000024;09.03.2017;2017;3;9;ую-3305;10198;1;243.3536;243.3536;;154;09.03.2017
100000030;21.07.2016;2016;7;21;ую-3335;10228;1;279.50336;279.50336;;169.28;26.07.2016
100000077;28.06.2018;2018;6;28;ую-3238;10131;2;429.5112;859.0224;;491.96;30.06.2018
100000081;04.04.2017;2017;4;4;ую-3152;10045;2;236.72;473.44;;252.5;05.04.2017
100000081;04.04.2017;2017;4;4;ую-3165;10058;1;641.88288;641.88288;;223.86;05.04.2017
100000081;04.04.2017;2017;4;4;ую-3174;10067;1;2505.00312;2505.00312;;1189.44;05.04.2017
100000081;04.04.2017;2017;4;4;ую-3435;10328;2;515.679;1031.358;;473.1;05.04.2017
100000081;04.04.2017;2017;4;4;ую-3250;10143;1;296.6976;296.6976;;139.68;05.04.2017
100000083;13.01.2017;2017;1;13;ую-3236;10129;1;645.75;645.75;;405;13.01.2017
100000083;13.01.2017;2017;1;13;ую-3442;10335;1;1428.1834;1428.1834;;740.88;13.01.2017
100000083;13.01.2017;2017;1;13;ую-3358;10251;1;394.416;394.416;;306.24;13.01.2017
100000083;13.01.2017;2017;1;13;ую-3156;10049;1;438.33684;438.33684;;270.3;13.01.2017
100000083;13.01.2017;2017;1;13;ую-3200;10093;1;747.285264;747.285264;;373.68;13.01.2017
100000085;13.11.2016;2016;11;13;ую-3202;10095;1;6199.7215;6199.7215;;3269.63;13.11.2016
100000086;17.10.2016;2016;10;17;ую-3182;10075;1;1600.01024;1600.01024;о╡а 504;741.6;22.10.2016
100000105;16.02.2018;2018;2;16;ую-3340;10233;1;991.381248;991.381248;;572.3;16.02.2018
100000105;16.02.2018;2018;2;16;ую-3342;10235;1;1331.37368;1331.37368;;946.57;16.02.2018
100000105;16.02.2018;2018;2;16;ую-3425;10318;1;379.1037;379.1037;;160.59;16.02.2018
100000105;16.02.2018;2018;2;16;ую-3183;10076;1;1524.2508664;1524.2508664;;804.58;16.02.2018
100000105;16.02.2018;2018;2;16;ую-3200;10093;1;603.307744;603.307744;;339.08;16.02.2018
100000105;16.02.2018;2018;2;16;ую-3321;10214;2;226.2708;452.5416;;275.52;16.02.2018
100000105;16.02.2018;2018;2;16;ую-3170;10063;1;1279.94412;1279.94412;;555.21;16.02.2018
100000110;03.03.2018;2018;3;3;ую-3195;10088;1;3241.26;3241.26;;1473.3;03.03.2018
